IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
190.93.244.194,4,4,0.00,154.48,326.65,SJC
198.41.197.58,4,4,0.00,154.02,293.99,SJC
104.17.224.74,4,4,0.00,154.42,291.68,SJC
198.41.201.105,4,4,0.00,154.72,157.76,SJC
104.16.98.113,4,4,0.00,154.16,138.27,SJC
104.17.186.253,4,4,0.00,154.77,110.98,SJC
104.16.7.191,4,4,0.00,154.71,104.25,SJC
104.18.204.27,4,4,0.00,153.96,95.59,SJC
172.64.93.45,4,4,0.00,154.53,93.84,SJC
172.64.67.66,4,4,0.00,154.09,91.13,SJC
104.16.143.121,4,4,0.00,154.20,90.29,SJC
162.159.14.13,4,4,0.00,47.40,67.10,SIN
162.159.33.249,4,4,0.00,47.40,64.93,SIN
162.159.49.69,4,4,0.00,47.39,64.85,SIN
162.159.60.149,4,4,0.00,47.42,63.50,SIN
162.159.19.97,4,4,0.00,46.92,61.84,SIN
162.159.61.234,4,4,0.00,47.42,57.33,SIN
162.159.9.154,4,4,0.00,47.42,54.20,SIN
162.159.4.22,4,4,0.00,47.17,54.06,SIN
172.64.159.106,4,4,0.00,47.50,51.33,SIN
